split,method,direction,signals,stocks,retained_3d,win_before_loss,median_return_5d,median_return_20d,mean_return_20d,median_mfe_20d_atr,median_mae_20d_atr
test,crossing_density,down,1957,200,0.6801226366888095,0.35360245273377616,0.002182603040194131,-0.008446027281952206,-0.017701317022891083,2.0457433028004073,-2.206735150383528
test,crossing_density,up,2264,200,0.6921378091872792,0.39840989399293286,0.00040534390011282007,-0.0018106794719290331,0.01997710121816882,3.00937169436518,-2.1349371032249245
test,donchian,down,807,194,0.7286245353159851,0.4076827757125155,-0.0019785780178205314,-0.022461609341203337,-0.026701484574733116,2.2614314300925455,-2.1782124659182354
test,donchian,up,878,196,0.6492027334851936,0.41002277904328016,-0.00576393619873905,-0.0043607057798019655,0.017301603534939796,3.3990132426910096,-2.554135162003785
test,volume_candle,down,2030,200,0.6916256157635468,0.31527093596059114,0.002423074815460835,-0.0036625160645289423,-0.022128097836686962,1.8840585371809886,-2.199464668408532
test,volume_candle,up,2125,200,0.699764705882353,0.3891764705882353,0.001010953877641052,0.005806478421933159,0.028965518810126125,2.793402342529834,-1.9444494185192822
train,crossing_density,down,2926,200,0.684894053315106,0.3622693096377307,0.000705405297530548,0.005715470901635378,-0.009824965238560107,2.166116182876558,-1.9815457337747355
train,crossing_density,up,3218,200,0.6746426351771286,0.3800497203231821,-0.0010007513195245399,0.0,0.02334155892354263,2.6569126885147716,-2.144077921513434
train,donchian,down,1305,200,0.6919540229885057,0.39157088122605366,0.002475207425567838,-0.0,-0.012930863128558822,2.1827087626165613,-2.0065777105889926
train,donchian,up,1146,199,0.7024432809773123,0.4040139616055846,0.004891175679195836,-0.0005275491773833463,0.03204131021023763,3.21685610830842,-2.2966400072693807
train,volume_candle,down,2737,200,0.6529046401169163,0.29777128242601386,-0.0,0.0006914192147295939,-0.019900560875674565,1.7987175998446545,-2.099642217355678
train,volume_candle,up,2861,200,0.6714435512058721,0.3684026564138413,-0.0010540695898088037,-0.004629576341173003,0.019193819932473835,2.433089206418368,-2.0347440092863613
