ts_code,trade_date,industry,market,method,direction,split,close,level,atr,signal_volume_ratio,retained_3d,win_before_loss,return_5d,return_20d,mfe_20d_atr,mae_20d_atr,confirmed_return_5d,confirmed_return_20d,confirmed_win_before_loss
000001.SZ,2020-02-03,银行,主板,volume_candle,down,train,10.986992835998535,11.740882873535156,0.32592086791992186,2.5199475162154656,True,False,-0.03645465200586395,-0.05718377976610278,-0.0722920192607054,-4.168650556776711,0.008124624271069414,-0.041977060967733015,False
000001.SZ,2020-02-03,银行,主板,crossing_density,down,train,10.986992835998535,11.373746681213383,0.32592086791992186,2.5199475162154656,False,False,-0.03645465200586395,-0.05718377976610278,-0.0722920192607054,-4.168650556776711,0.008124624271069414,-0.041977060967733015,False
000001.SZ,2020-02-04,银行,主板,volume_candle,up,train,11.466054916381836,10.986992835998535,0.3797171115875244,1.7218711669863553,True,True,0.013013691224258883,0.008219142761849652,2.316430048303173,-0.6204731864962085,0.028043774911231667,0.028043774911231667,True
000001.SZ,2020-03-05,银行,主板,volume_candle,up,train,12.086479187011719,11.71732234954834,0.3070701599121094,2.3364410429255402,False,False,-0.04613396107433476,-0.1572450020483538,-0.3069073724852975,-8.900267216255095,-0.0914635300157387,-0.13414645584168872,False
000001.SZ,2020-03-09,银行,主板,volume_candle,down,train,11.348252296447754,11.709467887878418,0.3306306838989258,1.343281423563526,True,False,0.04844285539608584,0.10865048588155557,6.03325608884443,-1.0213780901401073,0.16689372051688034,0.1287466056697093,True
000001.SZ,2020-03-16,银行,主板,donchian,down,train,10.798510551452637,10.916312217712402,0.3577251434326172,1.1591324045751237,True,True,0.1163636964180792,0.06472729674904987,4.039519917249175,-0.4829859611519,-0.06786590392187897,-0.053965676484553304,False
000001.SZ,2020-03-16,银行,主板,crossing_density,down,train,10.798510551452637,11.166719818115233,0.3577251434326172,1.1591324045751237,True,True,0.1163636964180792,0.06472729674904987,4.039519917249175,-0.4829859611519,-0.06786590392187897,-0.053965676484553304,False
000001.SZ,2020-04-22,银行,主板,volume_candle,down,train,10.390130043029785,10.44510555267334,0.2823319911956787,1.258808807270214,False,False,-0.05971284941193722,0.020408099576671224,1.3073687229254993,-3.031989394911037,-0.014074066411596142,0.015185678748712017,False
000001.SZ,2020-04-27,银行,主板,volume_candle,up,train,10.602173805236816,10.562906265258789,0.24502801895141602,1.2276109353363942,True,True,0.014074066411596142,-0.015185678748712017,2.6282049036607176,-2.371793150287724,-0.010050309080348319,-0.010534474373368186,False
000001.SZ,2020-06-01,银行,主板,volume_candle,up,train,10.640888214111328,10.562906265258789,0.23911705017089843,1.2530588328950591,True,False,0.02252258065672552,-0.015014994022108374,1.8709069908795195,-2.6727140170157506,-0.03610898657699113,0.15549012166410758,False
000001.SZ,2020-06-22,银行,主板,volume_candle,down,train,10.097661018371582,10.16955852508545,0.20571527481079102,1.738882631620633,False,False,-0.03797456877560945,-0.14003153520935885,0.46600475364624694,-15.494582725451663,-0.22499998134709775,-0.03437496735742096,False
000001.SZ,2020-07-03,银行,主板,volume_candle,up,train,11.383833885192871,11.29323673248291,0.2105010986328125,3.6243277303477983,True,True,0.04280697991884774,-0.06385966440796809,9.032254410890587,-4.364321621699987,-0.09454313418295635,-0.12690351446431247,False
000001.SZ,2020-07-06,银行,主板,crossing_density,up,train,12.526211738586426,11.71859850883482,0.23087215423583984,3.991715897753737,True,False,-0.05038263193978387,-0.13329082501788203,3.2871942731332124,-8.927331909602746,-0.0888603258320333,-0.10495813909011231,False
000001.SZ,2020-07-23,银行,主板,volume_candle,down,train,11.192106246948242,11.40318489074707,0.4673363208770752,0.9664631511615996,True,False,0.04568169087100693,-0.04139905897983387,1.5555539457019272,-2.290599508017394,-0.052473866024301374,-0.0944527977631997,False
000001.SZ,2020-08-10,银行,主板,volume_candle,up,train,11.144173622131348,10.986992835998535,0.35309853553771975,0.9929810234417228,True,True,0.08888895164465604,0.07096778720797281,3.9140295904949793,0.045250426974267295,0.028914030417796388,0.08180539136557807,True
000001.SZ,2020-08-17,银行,主板,crossing_density,up,train,12.134767532348633,11.843056910037996,0.33871893882751464,2.1393604764134646,False,False,-0.04805793295403582,0.007241697844725392,1.1556608189456083,-2.5471703823958243,-0.008910272480973092,0.067169223991836,False
000001.SZ,2020-08-20,银行,主板,volume_candle,down,train,11.655448913574219,11.740882873535156,0.3499031066894531,0.8324498387932004,True,False,0.008910272480973092,-0.067169223991836,1.0958926137912237,-2.5799073316980103,-0.03698634505314802,-0.06643834832379403,False
000001.SZ,2020-09-18,银行,主板,crossing_density,up,train,12.8377685546875,12.651929092407244,0.3403167724609375,1.2735239910923597,False,False,-0.05476037516521337,0.1014313098452937,6.3615040577500785,-3.07511321346904,-0.0294305985838631,0.13691622312779184,False
000001.SZ,2020-09-29,银行,主板,crossing_density,down,train,11.823209762573242,11.95278209924697,0.3247389316558838,1.2368727226468594,False,False,-0.08310822136079632,-0.23783786356222136,-0.0,-9.79089665914812,-0.09937102507828488,-0.12201256057805665,False
000001.SZ,2020-10-16,银行,主板,donchian,up,train,13.660600662231445,13.516804695129395,0.35709290504455565,2.2005681038860914,True,True,0.06023389265338652,0.004678383639186823,3.75839005039672,-0.9172253802054032,-0.01563379425505773,0.030709088742207014,False
000001.SZ,2020-11-13,银行,主板,volume_candle,down,train,13.724510192871094,13.82037353515625,0.5727863788604737,1.0646470933488603,False,False,-0.097788077596352,-0.07799763911147872,0.3905179408836066,-5.160393170244154,-0.03250266063548324,-0.029794202585703866,False
000001.SZ,2020-11-18,银行,主板,crossing_density,up,train,14.747057914733887,14.612727456092838,0.5727864265441894,1.245808931336913,True,True,0.03250266063548324,0.029794202585703866,3.3751763415233946,-0.4323570316250093,0.006116113240731913,-0.06829768293016092,False
000001.SZ,2020-11-23,银行,主板,donchian,up,train,15.67374324798584,15.170455932617188,0.5240556716918945,1.138877293116341,True,False,0.006116113240731913,-0.06829768293016092,1.9207307863228515,-2.423782401919375,0.0020512299359825015,-0.06358978094950651,True
000001.SZ,2020-12-28,银行,主板,crossing_density,up,train,15.058616638183594,14.851411342620851,0.5012882232666016,1.4891509732657608,True,False,-0.036074303247147665,0.18674063198063795,7.123606552636525,-1.6733106460177596,0.026373035700860248,0.19390191525454492,False
000001.SZ,2021-01-06,银行,主板,volume_candle,up,train,15.625810623168945,14.699126243591309,0.47452616691589355,2.1078900179644164,True,True,0.058285062115307706,0.27556578180453295,9.46139464916719,-0.5554700857706877,0.11383718141733978,0.216879241574373,True
000001.SZ,2021-01-12,银行,主板,donchian,up,train,16.776222229003906,16.680313110351562,0.5548124790191651,1.1725730874724567,True,False,0.06380949414091552,0.17047623508738252,6.205914933923699,-1.5118801374545874,0.049047748116893386,0.13571431170138792,True
000001.SZ,2021-02-01,银行,主板,crossing_density,up,train,19.612201690673828,19.028230726718903,0.7764995098114014,1.056567535851244,True,False,0.010183281364485097,-0.12016289515661749,0.7818930723469584,-3.467075647668394,-0.012195119584012426,-0.13536572062149677,False
000001.SZ,2021-03-11,银行,主板,volume_candle,up,train,16.991918563842773,16.776222229003906,0.8068558692932128,0.7844746347041526,True,False,0.021626599469123153,0.0014103132693707998,0.8415841291593154,-0.8910894950970375,-0.01985217378651949,-0.0457063290536468,False
