year,label,events,median_drawdown_atr
2023,假卖点,38568,2.1262502368356246
2023,真卖点,9087,0.5542328840099435
2024,假卖点,44216,2.7788584349483942
2024,真卖点,10756,0.625355819093036
2025,假卖点,45003,1.5577213167236796
2025,真卖点,10170,0.4547448180410534
2026,假卖点,29371,2.465332757498918
2026,真卖点,6286,0.6983159445669054
