label,events,stocks,median_drawdown_pct,mean_drawdown_atr,p10_drawdown_atr,p25_drawdown_atr,median_drawdown_atr,p75_drawdown_atr,p90_drawdown_atr
假卖点,157158,2770,0.07745066124684044,2.9267836235239524,-1.4802093203892335,0.33669008984970994,2.177856381031132,5.266880608234195,8.59903980592614
真卖点,36299,2771,0.022962112916617722,0.7889858487173976,-2.463603121924935,-0.6069657924727474,0.5677682715885654,1.6212864405524692,4.645657505783594
