index_code,index_name,trades,win_rate,median_return,mean_return
000985.SH,中证全指,3987,0.5836468522698771,0.03594928511234197,0.12760507680719818
932000.CSI,中证2000,1583,0.3720783322804801,-0.0466770023670775,-0.02889903985337708
000852.SH,中证1000,422,0.23933649289099526,-0.13671958524349376,-0.10957967209710884
000905.SH,中证500,170,0.21764705882352942,-0.11673730999525206,-0.11187171930141308
931775.CSI,房地产,160,0.41875,-0.02881796103383244,-0.016192419754477144
000987.SH,全指原材料,150,0.5,-0.001483123774381756,0.13022037163716446
399967.SZ,中证军工,127,0.6377952755905512,0.039323344505481694,0.10980559374234686
H30202.CSI,全指软件,119,0.31092436974789917,-0.12770860708060183,-0.08242506023605967
931230.CSI,汽车零部件,115,0.7304347826086957,0.0892728307830899,0.19596442355951407
930997.CSI,新能源车,102,0.696078431372549,0.0919899585334627,0.3343634716775068
930633.CSI,中证旅游,94,0.39361702127659576,-0.041076555545356386,-0.05007704122215054
000989.SH,全指可选消费,87,0.26436781609195403,-0.08955403717604216,-0.10105525165011157
000993.SH,全指信息,82,0.7439024390243902,0.12975558004916066,0.3171062068871618
399998.SZ,中证煤炭,82,0.5609756097560976,0.04920923124390186,0.12201228629656818
000932.SH,主要消费,73,0.2465753424657534,-0.11212346555796737,-0.09730886975860951
H30588.CSI,中证证保,72,0.5694444444444444,0.023792220854341073,0.04043931344516884
H30171.CSI,全指运输,70,0.45714285714285713,-0.008656206044728165,-0.015006837722273904
931994.CSI,电网设备,69,0.782608695652174,0.12392968101518198,0.41646583054897235
399995.SZ,基建工程,68,0.5147058823529411,0.005085086435874908,0.009810093014760579
931151.CSI,光伏产业,63,0.4603174603174603,-0.017304855673553887,0.025104623852926874
H30269.CSI,红利低波,55,0.6909090909090909,0.033545063506744466,0.04673337527252838
930901.CSI,动漫游戏,51,0.29411764705882354,-0.1457894897197609,-0.06638678314555138
000699.SH,科创200,50,0.62,0.05607310923949693,0.05364190278246344
H30184.CSI,半导体,46,0.6086956521739131,0.0612016332562032,0.09512710943413331
930598.CSI,稀土产业,45,0.4444444444444444,-0.03622827100076542,0.15735388043085494
399006.SZ,创业板指,43,0.6744186046511628,0.05528381117139913,0.3175711816667578
930707.CSI,畜牧养殖,42,0.14285714285714285,-0.1534460763062161,-0.17013639677896333
399997.SZ,中证白酒,40,0.05,-0.2092255793564335,-0.20734227759918342
000015.SH,上证红利,38,0.7368421052631579,0.03855114191472431,0.0729391398381648
H30217.CSI,医疗器械,38,0.47368421052631576,-0.01405338453669358,0.015664661804506066
899050.BJ,北证50,35,0.17142857142857143,-0.11471820721746007,-0.07410730762170173
H30198.CSI,油气产业,35,0.6571428571428571,0.05592411057211688,0.10158720607328074
930641.CSI,中证中药,35,0.4857142857142857,-0.0032108869473836954,0.01961690795819063
931009.CSI,建筑材料,35,0.2571428571428571,-0.059686252025276665,-0.11783994089570048
931152.CSI,创新药,34,0.5588235294117647,0.03323057771972948,0.040942263608914196
H30199.CSI,电力公用,32,0.65625,0.03683525653292863,0.08230274116260093
000949.CSI,中证农业,30,0.6,0.03898329756216001,0.03597532483447952
930651.CSI,中证计算机,26,0.34615384615384615,-0.019768601173814848,0.07256231487044301
931160.CSI,通信设备,26,0.7307692307692307,0.12489508947830841,0.5112658251466411
980028.SZ,龙头家电,23,0.5217391304347826,0.00488559355792173,0.06743015574646707
980022.SZ,机器人产业,22,0.4090909090909091,-0.08859898536225874,-0.04932469028939678
399986.SZ,中证银行,21,0.5238095238095238,0.016728064558059197,0.03800732696751112
399971.SZ,中证传媒,19,0.631578947368421,0.02794739186838746,0.011358200097795014
000819.SH,有色金属,18,0.8888888888888888,0.8794980978322543,0.9628918869370166
000991.SH,全指医药,16,0.1875,-0.14719396120179878,-0.09330117599774823
930606.CSI,中证钢铁,14,1.0,0.048714900520537285,0.0687411545892691
000994.CSI,全指通信服务,14,0.7857142857142857,0.10924998782914863,0.2445958404827096
931752.CSI,工程机械,14,0.21428571428571427,-0.15721055523238608,-0.15160971032652734
000688.SH,科创50,13,0.23076923076923078,-0.21487979892579945,-0.17741352460431753
000813.CSI,细分化工,12,0.6666666666666666,0.11075287980750048,0.13120773418321158
000995.CSI,全指公用,12,0.75,0.04209396243929342,0.05642539823606723
000016.SH,上证50,11,0.36363636363636365,-0.008784107791366291,0.009147144701913811
931743.CSI,半导体材料设备,8,0.5,0.013465280739944241,0.07017737135521405
950162.CSI,科创芯片设计,7,0.8571428571428571,0.07924736045277392,0.11021470289342032
930851.CSI,云计算,6,0.3333333333333333,-0.024486409243974105,-0.006983841583549588
930726.CSI,生物医药,6,0.5,-0.06051474055798017,-0.06640503130076873
000680.SH,科创综指,5,0.6,0.10565664805462927,0.1369130669341989
399975.SZ,证券公司,4,0.75,0.0474910778107237,0.05649167436166294
