variant,label,signals,taken,win_pct,mean_pct,median_pct,beat_hold_pct,open_end,exposure_pct,total_pct,cagr_pct,vol_pct,mdd_pct,calmar,sharpe_like,rand_p10,rand_med,rand_p90
pos5_base,板块九转 5 仓（第二轮最好）,1535,25,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,95.98214285714286,109.56568859261013,22.21614433921455,25.45000701223033,-22.86632139086987,0.9715661719022752,0.8729327394109673,73.5876635515889,126.0008315185475,195.70440712540426
low7,个股低7起算,1951,26,54.22860071758073,11.256231809501239,1.4676946219083664,37.519220912352644,653,95.98214285714286,27.134563111696796,6.7264176345072535,22.8854011032458,-24.06103859535762,0.2795564126564786,0.2939174019350378,49.17395423506819,108.75574940297912,183.9533818678229
low8,个股低8起算,1796,28,55.28953229398663,11.454865840578957,1.8462127518021454,38.084632516703785,598,95.98214285714286,27.097110690426884,6.717891396441145,22.751562100949084,-26.616904029505704,0.2523919156410581,0.2952716550465301,34.782579356701945,91.31309565397771,149.92972717680271
low10,个股低10起算,1234,29,53.40356564019449,10.250292058232677,1.1218853473226598,38.249594813614266,416,95.98214285714286,75.08583909000069,16.401745282223313,28.704318486631525,-26.988883946176443,0.6077222502024568,0.5714034036328751,13.271164474773144,62.269359666159204,109.33143702433799
low11,个股低11起算,1017,28,54.965585054080634,11.311985065219904,1.743269477027809,38.93805309734513,345,95.98214285714286,108.70299802994165,22.07951667385062,28.43224650528004,-31.432919824111426,0.7024328887485012,0.776566025823894,20.67550978440447,48.39753004950354,102.8749262410698
low12,个股低12起算,815,25,56.31901840490797,13.008583643116694,2.310345719878426,40.61349693251534,268,96.42857142857143,39.60514840642215,9.469012883647787,26.29161463777969,-31.277127017827745,0.3027456095392175,0.36015334220064615,12.272293183537597,45.823994316571785,89.19586242992203
low13,个股低13起算,692,21,57.80346820809249,14.891991526575863,3.242587039130995,40.895953757225435,227,96.42857142857143,-8.865790024812647,-2.485927839744373,23.29881275194729,-34.01165175350417,-0.07309047669195459,-0.10669761872465376,4.65992754658453,31.115656335868948,64.58584857060592
high1,个股买在高1,504,25,49.801587301587304,4.641372526676766,-0.22361850479666878,32.93650793650794,179,96.42857142857143,27.649380335003304,6.84343333419164,29.085760024830343,-38.191718643130336,0.17918631518360825,0.23528466604790252,-5.607136558981662,25.040473442048892,50.41553763632582
high3,个股买在高3,378,27,52.64550264550265,3.9199768847466254,0.5076601522099877,31.746031746031743,168,96.42857142857143,36.3165004202149,8.763681658263312,23.33619055075325,-20.890441762389088,0.41950676572294143,0.375540371047426,22.822569605636865,45.94178296419291,86.1731283173424
high4,个股买在高4,204,24,56.372549019607845,4.260457672882575,1.352701788253663,30.88235294117647,88,94.30803571428571,4.458989690260973,1.1899341769529226,26.38561667888198,-45.11815694341435,0.026373731942226662,0.04509783460567361,-9.344379828623307,-0.47665385743703714,11.231598915097308
low7high1,个股低7+高1,700,26,50.142857142857146,5.615015519471983,0.030553032932956192,32.285714285714285,242,96.42857142857143,43.62683012168329,10.315288350867945,26.772988820695186,-33.53875529922596,0.3075632431447452,0.3852871421996171,25.271996346832548,54.16204391515529,85.30377491919714
low8high1,个股低8+高1,562,24,49.46619217081851,4.981015562075631,-0.46891712075258773,33.629893238434164,198,96.42857142857143,37.9503984256965,9.115642992987794,28.67509983002659,-38.191718643130336,0.23868114127478401,0.3178940281645513,13.07433225939092,33.17138939478812,68.89477023887807
low10high3,个股低10+高3,286,23,53.84615384615385,3.297072852750349,0.9095438846904669,29.72027972027972,133,96.42857142857143,-4.461525903629027,-1.2299701366145999,21.36109264417727,-30.75185214625987,-0.03999661974064844,-0.0575799261349991,-7.7449252689012145,14.836742022055871,58.58436765587462
low12high3,个股低12+高3,161,29,58.38509316770186,5.2551433302602835,2.9770113373009943,30.434782608695656,82,90.95982142857143,-1.0521574040215809,-0.2864016387144508,23.357565633608456,-37.65685774665989,-0.007605563922546198,-0.012261621917583596,-13.713009673215282,11.050732145243902,43.60923139112343
