key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h22_z1.0_f5_p5,2,2,2,2,1.0,5,40.0,20,9,0,2.0,5,default54,767,35.96,-18.97,0.692,-27.87,-36.55,-0.654,43.81
h22_z1.0_f5_p8,2,2,2,2,1.0,5,40.0,20,9,0,2.0,8,default54,767,36.56,-17.76,0.75,-10.46,-23.05,-0.383,43.81
h22_z1.0_f5_p10,2,2,2,2,1.0,5,40.0,20,9,0,2.0,10,default54,767,23.41,-17.62,0.5,-7.02,-20.52,-0.287,43.81
h22_z1.5_f1_p5,2,2,2,2,1.5,1,40.0,20,9,0,2.0,5,default54,104,18.13,-22.24,0.311,-20.69,-28.47,-0.619,46.15
h22_z1.5_f1_p8,2,2,2,2,1.5,1,40.0,20,9,0,2.0,8,default54,104,7.21,-24.72,0.115,-18.4,-24.54,-0.637,46.15
h22_z1.5_f1_p10,2,2,2,2,1.5,1,40.0,20,9,0,2.0,10,default54,104,2.47,-29.18,0.034,-19.52,-24.5,-0.677,46.15
h22_z1.5_f3_p5,2,2,2,2,1.5,3,40.0,20,9,0,2.0,5,default54,368,12.57,-22.19,0.219,-13.48,-19.48,-0.585,47.55
h22_z1.5_f3_p8,2,2,2,2,1.5,3,40.0,20,9,0,2.0,8,default54,368,2.92,-25.59,0.045,-12.53,-18.55,-0.571,47.55
h22_z1.5_f3_p10,2,2,2,2,1.5,3,40.0,20,9,0,2.0,10,default54,368,2.53,-22.62,0.045,-12.12,-18.4,-0.556,47.55
h22_z1.5_f5_p5,2,2,2,2,1.5,5,40.0,20,9,0,2.0,5,default54,501,8.18,-21.93,0.146,-27.1,-30.41,-0.763,45.31
h22_z1.5_f5_p8,2,2,2,2,1.5,5,40.0,20,9,0,2.0,8,default54,501,5.89,-24.11,0.096,-19.34,-23.42,-0.702,45.31
h22_z1.5_f5_p10,2,2,2,2,1.5,5,40.0,20,9,0,2.0,10,default54,501,5.84,-23.7,0.097,-16.76,-22.61,-0.629,45.31
h12_zoff_f1_p5,1,2,2,2,,1,40.0,20,9,0,2.0,5,default54,280,-2.89,-38.01,-0.031,-29.72,-37.43,-0.682,55.36
h12_zoff_f1_p8,1,2,2,2,,1,40.0,20,9,0,2.0,8,default54,280,-6.03,-41.6,-0.059,-22.31,-32.89,-0.578,55.36
h12_zoff_f1_p10,1,2,2,2,,1,40.0,20,9,0,2.0,10,default54,280,-5.34,-39.24,-0.055,-18.57,-31.96,-0.494,55.36
h12_zoff_f3_p5,1,2,2,2,,3,40.0,20,9,0,2.0,5,default54,782,35.29,-40.2,0.321,-6.24,-16.78,-0.312,49.62
h12_zoff_f3_p8,1,2,2,2,,3,40.0,20,9,0,2.0,8,default54,782,27.16,-37.94,0.267,-7.5,-16.37,-0.385,49.62
h12_zoff_f3_p10,1,2,2,2,,3,40.0,20,9,0,2.0,10,default54,782,17.0,-37.4,0.174,-7.36,-16.5,-0.375,49.62
h12_zoff_f5_p5,1,2,2,2,,5,40.0,20,9,0,2.0,5,default54,977,8.28,-48.64,0.067,-8.16,-16.18,-0.425,48.93
h12_zoff_f5_p8,1,2,2,2,,5,40.0,20,9,0,2.0,8,default54,977,11.8,-44.94,0.102,-9.08,-15.99,-0.478,48.93
h12_zoff_f5_p10,1,2,2,2,,5,40.0,20,9,0,2.0,10,default54,977,5.89,-43.87,0.053,-8.76,-15.73,-0.469,48.93
h12_z0.0_f1_p5,1,2,2,2,0.0,1,40.0,20,9,0,2.0,5,default54,197,27.18,-35.41,0.286,-5.74,-24.16,-0.199,59.39
h12_z0.0_f1_p8,1,2,2,2,0.0,1,40.0,20,9,0,2.0,8,default54,197,17.12,-34.73,0.188,-8.08,-22.64,-0.301,59.39
h12_z0.0_f1_p10,1,2,2,2,0.0,1,40.0,20,9,0,2.0,10,default54,197,13.88,-35.51,0.151,-9.44,-23.36,-0.34,59.39
h12_z0.0_f3_p5,1,2,2,2,0.0,3,40.0,20,9,0,2.0,5,default54,617,27.5,-34.5,0.297,-12.71,-19.3,-0.556,51.86
h12_z0.0_f3_p8,1,2,2,2,0.0,3,40.0,20,9,0,2.0,8,default54,617,24.74,-31.95,0.29,-12.49,-16.18,-0.652,51.86
h12_z0.0_f3_p10,1,2,2,2,0.0,3,40.0,20,9,0,2.0,10,default54,617,22.72,-33.64,0.255,-12.44,-17.84,-0.589,51.86
h12_z0.0_f5_p5,1,2,2,2,0.0,5,40.0,20,9,0,2.0,5,default54,798,13.44,-37.37,0.139,-12.09,-21.27,-0.48,50.75
h12_z0.0_f5_p8,1,2,2,2,0.0,5,40.0,20,9,0,2.0,8,default54,798,10.12,-31.28,0.126,-12.03,-19.41,-0.523,50.75
h12_z0.0_f5_p10,1,2,2,2,0.0,5,40.0,20,9,0,2.0,10,default54,798,7.82,-33.02,0.093,-12.64,-19.68,-0.543,50.75
h12_z0.5_f1_p5,1,2,2,2,0.5,1,40.0,20,9,0,2.0,5,default54,140,4.68,-36.42,0.051,-16.46,-32.27,-0.433,57.14
h12_z0.5_f1_p8,1,2,2,2,0.5,1,40.0,20,9,0,2.0,8,default54,140,16.48,-35.58,0.177,-16.7,-28.64,-0.494,57.14
h12_z0.5_f1_p10,1,2,2,2,0.5,1,40.0,20,9,0,2.0,10,default54,140,15.29,-37.2,0.158,-13.93,-25.0,-0.471,57.14
h12_z0.5_f3_p5,1,2,2,2,0.5,3,40.0,20,9,0,2.0,5,default54,502,-5.04,-35.34,-0.058,-13.59,-21.93,-0.524,50.4
h12_z0.5_f3_p8,1,2,2,2,0.5,3,40.0,20,9,0,2.0,8,default54,502,-4.24,-38.73,-0.045,-11.06,-18.4,-0.507,50.4
h12_z0.5_f3_p10,1,2,2,2,0.5,3,40.0,20,9,0,2.0,10,default54,502,-3.96,-36.57,-0.044,-10.85,-18.11,-0.505,50.4
