variant,label,signals,taken,win_pct,mean_pct,median_pct,beat_hold_pct,open_end,exposure_pct,total_pct,cagr_pct,vol_pct,mdd_pct,calmar,sharpe_like,rand_p10,rand_med,rand_p90
none_pos3,不过滤 × 最多 3 仓,1535,15,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,95.98214285714286,47.54019883746228,11.12235030371853,23.873528745456603,-28.503859294492496,0.39020506622650875,0.46588631376227685,74.35618124842209,125.7864335857263,218.21222064426865
none_pos5,不过滤 × 最多 5 仓,1535,25,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,95.98214285714286,109.56568859261013,22.21614433921455,25.45000701223033,-22.86632139086987,0.9715661719022752,0.8729327394109673,73.5876635515889,126.0008315185475,195.70440712540426
none_pos8,不过滤 × 最多 8 仓,1535,42,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,95.98214285714286,118.29848432811154,23.576633252116608,25.7740583212058,-23.19385801259918,1.016503301835749,0.9147427602706538,65.41817919520916,98.85704665056936,164.1278897342709
none_pos10,不过滤 × 最多 10 仓,1535,52,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,107.10283720335471,21.824999254482247,24.94813523798522,-24.603002257038554,0.8870868289352142,0.8748148527450746,64.48057675068955,88.82866305635555,128.71774384229616
gate_pos3,过硬闸门 × 最多 3 仓,1106,16,52.89330922242315,8.968697200517202,1.1218853473226598,35.44303797468354,391,95.98214285714286,64.15523012397948,14.384734462946813,28.248396227968247,-28.422721304229192,0.5060998315036928,0.5092230492258791,25.310334118315893,95.82838518107107,210.3898975510461
gate_pos5,过硬闸门 × 最多 5 仓,1106,25,52.89330922242315,8.968697200517202,1.1218853473226598,35.44303797468354,391,96.42857142857143,55.77876812692146,12.77171394291161,24.225400880192876,-25.723205906134083,0.49650552849114366,0.5272034095978158,57.58036490627423,103.79432223786891,158.6300339819278
gate_pos8,过硬闸门 × 最多 8 仓,1106,40,52.89330922242315,8.968697200517202,1.1218853473226598,35.44303797468354,391,96.42857142857143,109.77802929242868,22.249710678132438,24.880619301027867,-32.20459895553841,0.6908861280604778,0.8942587163500894,50.76000314018123,91.2383087871429,138.8497561268664
gate_pos10,过硬闸门 × 最多 10 仓,1106,51,52.89330922242315,8.968697200517202,1.1218853473226598,35.44303797468354,391,96.42857142857143,94.42414595457993,19.755912424436705,24.002661664789436,-31.357665414575596,0.6300185987459962,0.8230717368073194,49.2571688482325,82.89017302012054,127.13338070291238
pool_pos3,股票池前100 × 最多 3 仓,57,13,54.385964912280706,26.083254567929217,1.1246290994048058,42.10526315789473,17,87.27678571428571,110.9113951558757,22.42845298054521,29.873885676505964,-34.47460196986759,0.6505790262683445,0.7507711994152758,3.382523908963142,83.80362970066568,183.20345187656562
pool_pos5,股票池前100 × 最多 5 仓,57,23,54.385964912280706,26.083254567929217,1.1246290994048058,42.10526315789473,17,96.42857142857143,114.76660900331935,23.031263916829083,25.010279376953754,-25.72738013472382,0.8952044007677317,0.9208719170906872,28.643290593526395,84.96425892590838,135.67053720931347
pool_pos8,股票池前100 × 最多 8 仓,57,32,54.385964912280706,26.083254567929217,1.1246290994048058,42.10526315789473,17,96.42857142857143,85.30034020217354,18.20526304127801,21.99070467835114,-25.094338048513077,0.725472933618854,0.8278617401105964,28.096350308798268,64.61111727138832,110.09781626160068
pool_pos10,股票池前100 × 最多 10 仓,57,37,54.385964912280706,26.083254567929217,1.1246290994048058,42.10526315789473,17,96.42857142857143,69.29462290933938,15.344914832427769,20.55528602107213,-21.627993484626163,0.7094932242944961,0.7465191589500151,47.05754377971398,72.72180966676427,96.27870665309537
rank500_pos3,排名≤500 × 最多 3 仓,281,13,54.44839857651246,14.938322521580634,1.182200327927596,33.096085409252666,100,95.42410714285714,94.11979486234985,19.705050573607053,28.371306916507233,-42.200965739902394,0.4669336406909589,0.6945415180060702,45.29593285855218,104.02065689490713,176.16123158823865
rank500_pos5,排名≤500 × 最多 5 仓,281,25,54.44839857651246,14.938322521580634,1.182200327927596,33.096085409252666,100,96.42857142857143,81.30947766629792,17.50945746302801,23.97462381842173,-24.994057115904045,0.7005448287899813,0.7303329385120119,61.547220890612685,97.03869818682543,156.30435067353784
rank500_pos8,排名≤500 × 最多 8 仓,281,42,54.44839857651246,14.938322521580634,1.182200327927596,33.096085409252666,100,96.42857142857143,39.004280734298845,9.341053076145878,19.714615169299613,-19.7887134007244,0.4720394341455232,0.47381361471828976,33.97143374055223,58.242360182052536,95.41143188880696
rank500_pos10,排名≤500 × 最多 10 仓,281,52,54.44839857651246,14.938322521580634,1.182200327927596,33.096085409252666,100,96.42857142857143,29.477808988346244,7.256267362334823,19.891023950412315,-21.301201883876374,0.3406506075052669,0.3648010972398638,23.063600443584598,43.36008914784748,73.93607176278361
gatefail_pos5,硬闸门转不过就走 × 5 仓,1535,32,53.420195439739416,7.492354231345329,0.5604249101067715,44.23452768729641,356,96.42857142857143,36.37685494616858,8.776737289762826,19.882527544563516,-25.254460131685452,0.3475321683377073,0.4414296557664094,56.08554739919398,105.92597118889935,156.70352157687284
