seed,solo_total,solo_mdd,solo_calmar,solo_vol,sent_w50_total,sent_w50_mdd,sent_w50_calmar,sent_w50_vol,sent_w60_total,sent_w60_mdd,sent_w60_calmar,sent_w60_vol,tech_w50_total,tech_w50_mdd,tech_w50_calmar,tech_w50_vol,tech_w60_total,tech_w60_mdd,tech_w60_calmar,tech_w60_vol
0,142.55074163652512,-31.35036560050455,0.8662613349006811,26.388644417577957,87.6557627793259,-17.638439726456824,1.0551283911602236,16.814648226924923,98.48450799792239,-20.480026310123055,0.9975072901983327,18.412019473389858,82.41280779813489,-16.36353317051843,1.0818525526663763,16.603282130069765,93.89848205331131,-19.56183842635788,1.005428466727981,18.365851795579495
1,107.49958838600296,-25.307270961130477,0.8648992127253414,27.03449174359287,73.89924695136283,-14.277308016785085,1.1337784514625167,17.01695292918598,81.07260897407404,-16.085650124004612,1.0859250186759526,18.700624699829575,69.03844889748112,-15.78759896438845,0.9689605942615233,16.79896779420175,76.8854387791843,-17.763816735645587,0.9415182028219703,18.647245982588675
2,177.93654117175763,-26.599723517374187,1.2007985305887483,29.307041297104984,102.63242124405019,-14.7691383566534,1.429079162390581,17.72774354198134,117.18314530397306,-17.23932841923801,1.3576578203730636,19.71766698133579,96.7904675212629,-14.18335247665975,1.4206370150399592,17.670464480544425,111.97824352724184,-16.31165738370156,1.385271026017871,19.79704144545646
3,114.60697732141645,-26.304567115972098,0.8746184870712567,25.98452847816972,76.76094129295521,-15.646622791896936,1.0674938872977175,16.2816906288684,84.67737830603164,-17.42137316759583,1.0388029569713029,17.875382333313457,71.48076059912114,-14.646812027594736,1.0751084316615171,16.392134360329468,80.06556230976356,-16.583361131577746,1.042629460509506,18.112882151716985
4,148.72390738262246,-20.374776533080198,1.3755799755250624,27.264132518252488,90.40400972212595,-13.33691801394804,1.4305664343360491,17.1742350016229,101.8812153548724,-12.462827310705327,1.6837560885430112,18.87782349746531,84.92754559117009,-11.90048958230271,1.5243685104676106,17.111023630744242,97.05732320315101,-13.204374611698865,1.5293077771085202,18.95717865146057
5,148.3066507043617,-23.978305105286026,1.1664235779554324,27.628789102912794,90.99516157862817,-14.203406235003035,1.3503439364170664,16.894114122460575,102.44647510969571,-15.55896084809274,1.3545970873963857,18.697934168457863,85.30574938704596,-12.100497944818944,1.5045826021258306,16.982767524254644,97.406471230189,-14.580306596758907,1.3889461965960452,18.9097552292247
6,120.7052822249822,-25.092047905205426,0.9542705211639319,28.20952867679271,79.41102921998487,-15.06608312959573,1.1399472476980568,17.8836390211386,87.96418728360904,-15.909967539660673,1.173078931449403,19.660644934036455,74.46672253628475,-15.17299496689526,1.073617377215176,17.63483195940597,83.69135804366401,-17.233664888551182,1.040177143905697,19.573965734349326
7,102.7580051647063,-24.850837960306226,0.8501369511507466,26.494660219361986,72.11115313396826,-15.30032246573657,1.036719072176577,16.406842739738835,78.78924561507465,-16.99627810295665,1.004001326770794,18.0739936634153,66.92041190344816,-13.334061417257026,1.1177409110164098,16.570765668635556,74.27532933577064,-15.467653987680718,1.050927631386416,18.35597269419986
8,57.42077874760882,-30.615272891902112,0.4276560184008076,25.084682179222934,50.97095620705849,-19.30261314334517,0.6122044409668927,16.0206642423805,52.93595990601705,-21.673220256992153,0.5633647100235204,17.490576447038666,46.49992816895303,-17.08171089674504,0.6386567858164136,16.10373052180822,49.15596702206422,-19.866296456298382,0.5764046424236489,17.707764176671546
9,134.6963052850059,-24.48411429036501,1.0630416722689384,26.01861445216105,84.55658210266841,-13.31810920176747,1.3572814749549393,16.57916417616827,94.56827792628091,-15.53616380336268,1.2731572057735465,18.141836415857558,79.53726359336169,-14.979710872496433,1.1480121287516198,16.22113931267562,90.21105282280173,-16.92180653416867,1.1255661656334144,17.97040815398599
10,195.05390823925896,-30.715738951055172,1.1100674309959642,29.688528456369585,108.76967936358656,-19.448746120336914,1.1358105958451579,18.14109480590779,125.11103107695116,-21.203250688209387,1.1607029515130982,20.14250455987537,102.502087578431,-18.054601837200423,1.1678541026554126,18.271655518347263,119.4574371088732,-20.624951289077543,1.1517209902194878,20.380562638870007
11,162.94751740113455,-25.53857578955888,1.173610177833404,26.88115089720941,95.70369305672666,-14.368020162577844,1.3898304701461694,16.924496591986905,108.66017964669625,-16.230945615901216,1.3599161236807829,18.593243119824404,90.23897554885794,-15.525777341689873,1.227078744659557,16.716411748072783,103.84267310448764,-17.60969198322284,1.209673507967313,18.549163457453467
12,136.67967053001541,-23.104581767862886,1.138974978876797,27.627926589165824,86.06364881323107,-15.17303871262995,1.2085317204499693,17.201934706119893,96.29013534354831,-14.513696084850004,1.3825896907398243,18.965301738480488,80.53370642738396,-13.949642186179823,1.2454017622873346,17.29082229862659,91.4174278696829,-15.770454764890317,1.2206923623240014,19.175738341158493
13,93.80932893763057,-22.52146123512584,0.8726390669619869,22.011184535597685,66.86640600181939,-14.560449447099689,1.0229041449301262,14.37070627255565,72.61866278806725,-14.736620530694555,1.0826550694274935,15.50521446384367,61.9666867365454,-14.230043123222336,0.9816691926332125,14.394469090678562,68.39261572486444,-15.935098625944132,0.9524852846823663,15.689193969992749
