variant,label,signals,taken,win_pct,mean_pct,median_pct,beat_hold_pct,open_end,exposure_pct,total_pct,cagr_pct,vol_pct,mdd_pct,calmar,sharpe_like,rand_p10,rand_med,rand_p90
look1_pos5,贪恐回看 1 个交易日 × 5 仓,1535,25,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,95.98214285714286,109.56568859261013,22.21614433921455,25.45000701223033,-22.86632139086987,0.9715661719022752,0.8729327394109673,72.83287367055426,125.45126138901979,208.2748181762651
look2_pos5,贪恐回看 2 个交易日 × 5 仓,2504,29,49.36102236421725,6.862203971708019,-0.23025409894928406,38.93769968051119,762,99.77678571428571,7.505103090702403,1.9817007746578685,25.411610137278736,-50.207295067887124,0.03947037521097956,0.07798406964188079,10.605771994724545,48.64368322863007,101.05235042542145
look3_pos5,贪恐回看 3 个交易日 × 5 仓,3669,29,49.250476969201415,7.010118365759197,-0.35908399152013715,40.44698828018534,931,99.77678571428571,20.678480529306988,5.228793950162269,28.349298817660433,-45.00668177319122,0.1161781705328222,0.18444173818171997,11.865157518937908,42.79988152944223,103.32662052623584
look5_pos5,贪恐回看 5 个交易日 × 5 仓,4407,33,48.33219877467665,5.995075296075379,-0.7734725343500171,40.61719990923531,966,99.77678571428571,89.15109879890115,18.86636307883547,30.34476188829745,-47.653722860576444,0.3959053342806815,0.6217337657248627,-4.432606590035659,38.291232362320436,107.49533830872933
look8_pos5,贪恐回看 8 个交易日 × 5 仓,4801,30,47.990002082899395,5.476700784921452,-0.904615297467315,40.49156425744636,1012,99.77678571428571,-5.787437422715103,-1.6035578885913337,26.655566899836902,-47.71585031790276,-0.03360639866852978,-0.060158461255654085,1.467006704949636,30.526634955289687,87.57867536275157
look10_pos5,贪恐回看 10 个交易日 × 5 仓,4829,30,48.084489542348315,5.551987812128931,-0.8476726850698668,40.525988817560574,1012,99.77678571428571,-5.787437422715103,-1.6035578885913337,26.655566899836902,-47.71585031790276,-0.03360639866852978,-0.060158461255654085,9.565397207857075,43.827026273637834,107.27588732278485
look15_pos5,贪恐回看 15 个交易日 × 5 仓,4866,30,48.10933004521167,5.62820432887448,-0.8398753362365174,40.464447184545826,1016,99.77678571428571,-5.787437422715103,-1.6035578885913337,26.655566899836902,-47.71585031790276,-0.03360639866852978,-0.060158461255654085,11.11714511888482,41.801888940653555,99.7574873929825
look1_pos10,贪恐回看 1 个交易日 × 10 仓,1535,52,54.65798045602605,10.550317517947503,1.725278477707115,38.697068403908794,518,96.42857142857143,107.10283720335471,21.824999254482247,24.94813523798522,-24.603002257038554,0.8870868289352142,0.8748148527450746,63.72562954545251,88.82866305635555,125.99289940915219
look2_pos10,贪恐回看 2 个交易日 × 10 仓,2504,59,49.36102236421725,6.862203971708019,-0.23025409894928406,38.93769968051119,762,99.77678571428571,49.58348595282729,11.537555822612443,23.733596427097275,-37.60762202954388,0.30678769887521057,0.4861275811296644,55.14059302533643,82.05192898432449,116.8427533038432
look3_pos10,贪恐回看 3 个交易日 × 10 仓,3669,59,49.250476969201415,7.010118365759197,-0.35908399152013715,40.44698828018534,931,99.77678571428571,31.561103735642405,7.721500013416627,26.00732548192527,-43.49779612405634,0.17751474100882714,0.2968971191898591,14.296480342227813,45.03671714829927,86.09553240264658
look5_pos10,贪恐回看 5 个交易日 × 10 仓,4407,65,48.33219877467665,5.995075296075379,-0.7734725343500171,40.61719990923531,966,99.77678571428571,66.91223536947031,14.902499706958071,29.156936861388242,-48.26518791437847,0.30876290657761085,0.5111133510973527,9.238334131746772,37.55875559738511,90.01575803789936
look8_pos10,贪恐回看 8 个交易日 × 10 仓,4801,60,47.990002082899395,5.476700784921452,-0.904615297467315,40.49156425744636,1012,99.77678571428571,-6.383491538034747,-1.7727510106437583,24.775960098078233,-49.718946842889686,-0.03565544170204562,-0.07155125386165209,12.068711746100714,39.53811064820285,78.24611112104209
look10_pos10,贪恐回看 10 个交易日 × 10 仓,4829,60,48.084489542348315,5.551987812128931,-0.8476726850698668,40.525988817560574,1012,99.77678571428571,-6.383491538034747,-1.7727510106437583,24.775960098078233,-49.718946842889686,-0.03565544170204562,-0.07155125386165209,13.708514224340274,48.02677093759915,82.13609676337474
look15_pos10,贪恐回看 15 个交易日 × 10 仓,4866,60,48.10933004521167,5.62820432887448,-0.8398753362365174,40.464447184545826,1016,99.77678571428571,-6.383491538034747,-1.7727510106437583,24.775960098078233,-49.718946842889686,-0.03565544170204562,-0.07155125386165209,24.078446824950326,45.163699383931586,81.69562157622818
