iShares U.S. Home Construction ETF
Fund Holdings as of,"Mar 21, 2025"
Inception Date,"May 01, 2006"
Shares Outstanding,"25,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LGIH","LGI HOMES INC","Consumer Discretionary","Equity","13,658,859.52","0.57","13,658,859.52","192,704.00","70.88","United States","NASDAQ","USD","1.00","USD","-"
"LENB","LENNAR CORP CLASS B","Consumer Discretionary","Equity","11,071,006.65","0.46","11,071,006.65","101,355.00","109.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GFF","GRIFFON CORP","Industrials","Equity","10,652,214.00","0.44","10,652,214.00","150,455.00","70.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAYW","HAYWARD HOLDINGS INC","Industrials","Equity","7,586,077.50","0.31","7,586,077.50","542,250.00","13.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROCK","GIBRALTAR INDUSTRIES INC","Industrials","Equity","7,045,825.46","0.29","7,045,825.46","115,714.00","60.89","United States","NASDAQ","USD","1.00","USD","-"
"MBC","MASTERBRAND INC","Industrials","Equity","6,471,372.45","0.27","6,471,372.45","484,747.00","13.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LZB","LA-Z-BOY INC","Consumer Discretionary","Equity","6,078,082.42","0.25","6,078,082.42","158,201.00","38.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DFH","DREAM FINDERS HOMES INC CLASS A","Consumer Discretionary","Equity","5,981,489.52","0.25","5,981,489.52","255,183.00","23.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BZH","BEAZER HOMES INC","Consumer Discretionary","Equity","5,712,415.30","0.24","5,712,415.30","267,185.00","21.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOV","HOVNANIAN ENTERPRISES INC CLASS A","Consumer Discretionary","Equity","4,595,256.48","0.19","4,595,256.48","43,059.00","106.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
