index_code,metric,side,events,mean_5d,mean_10d,mean_20d,positive_20d
H30184.CSI,low7_9_weighted,low,27,-0.0050968397,-0.0050249607,0.02592185,0.5555555555555556
H30184.CSI,low9_share,low,38,-0.009425146,-0.009201038,0.016023159,0.5
H30198.CSI,high7_9_share,high,22,-0.010139533,-0.007189122,-0.020347595,0.5454545454545454
H30198.CSI,high7_9_weighted,high,22,-0.010997195,-0.006146534,-0.017268373,0.5
H30198.CSI,high9_share,high,30,0.0017701904,0.0034290692,-0.0025008938,0.6
H30198.CSI,low7_9_share,low,17,0.0015945154,0.008838306,0.025141744,0.5294117647058824
H30198.CSI,low7_9_weighted,low,22,0.0031764535,0.003331802,0.015313739,0.5454545454545454
H30198.CSI,low9_share,low,24,0.0056058094,0.0059438893,0.021083975,0.625
H30199.CSI,high7_9_share,high,17,0.008664538,-0.0039916774,0.02086347,0.5882352941176471
H30199.CSI,high7_9_weighted,high,19,0.011377341,-0.002588746,0.015480804,0.631578947368421
H30199.CSI,high9_share,high,25,0.0054009724,-0.0007999206,0.014227274,0.72
H30199.CSI,low7_9_share,low,13,-0.0097735245,-0.013367562,-0.015201321,0.3076923076923077
H30199.CSI,low7_9_weighted,low,12,-0.005726402,-0.0045389333,0.009683147,0.4166666666666667
H30199.CSI,low9_share,low,20,0.0057217837,0.0132614765,0.012146285,0.45
H30202.CSI,high7_9_share,high,18,-0.029170718,-0.016670598,-0.010790546,0.5
H30202.CSI,high7_9_weighted,high,18,-0.00918445,-0.008008649,0.0007414685,0.5555555555555556
H30202.CSI,high9_share,high,23,-0.020261286,-0.028961845,-0.010442835,0.4782608695652174
H30202.CSI,low7_9_share,low,35,-0.00972679,-0.008796213,-0.013740807,0.3142857142857143
H30202.CSI,low7_9_weighted,low,32,-0.0077791475,-0.0077279955,-0.013727952,0.375
H30202.CSI,low9_share,low,38,-0.019375883,-0.015604019,-0.028278649,0.2894736842105263
H30217.CSI,high7_9_share,high,19,0.025893625,0.02298724,0.039961874,0.7894736842105263
H30217.CSI,high7_9_weighted,high,17,0.030449703,0.027430102,0.040442675,0.7647058823529411
H30217.CSI,high9_share,high,19,0.0064114393,0.009268664,0.022811959,0.7368421052631579
H30217.CSI,low7_9_share,low,25,-0.0039687823,0.0006518483,0.011257146,0.56
H30217.CSI,low7_9_weighted,low,26,0.0027587323,0.008414262,0.00891025,0.46153846153846156
H30217.CSI,low9_share,low,31,-0.0029629162,0.0059490222,0.0078070355,0.5161290322580645
H30269.CSI,high7_9_share,high,18,0.003294703,0.004556742,0.010167029,0.6111111111111112
H30269.CSI,high7_9_weighted,high,15,0.0010161082,0.001080978,0.010026355,0.5333333333333333
H30269.CSI,high9_share,high,28,-0.0013254966,0.000806834,0.0027852037,0.5
H30269.CSI,low7_9_share,low,16,0.0044754706,-0.00014555827,0.010936506,0.5
H30269.CSI,low7_9_weighted,low,13,0.00014515565,0.00031155348,0.020964704,0.5384615384615384
H30269.CSI,low9_share,low,21,-0.005716985,0.0014280138,0.006215334,0.5714285714285714
H30588.CSI,high7_9_share,high,25,-0.012609465,0.006282523,-0.0026184393,0.48
H30588.CSI,high7_9_weighted,high,25,-0.011662543,0.011890697,0.006040156,0.6
H30588.CSI,high9_share,high,30,-0.009433571,-0.0046371957,0.01010619,0.6333333333333333
H30588.CSI,low7_9_share,low,28,-0.003422933,0.00077095843,0.002270424,0.6071428571428571
H30588.CSI,low7_9_weighted,low,30,-0.0030878028,0.0033544442,0.0074539245,0.6
H30588.CSI,low9_share,low,42,0.0025752457,0.00628251,0.010913768,0.5238095238095238
