index_code,metric,side,events,mean_5d,mean_10d,mean_20d,positive_20d
000985.SH,high7_9_share,high,15,-0.0031692584,-0.0060203713,-0.009317875,0.4
000985.SH,high7_9_weighted,high,20,-0.009358784,-0.011578003,-0.01368236,0.5
000985.SH,high9_share,high,22,-0.008777093,-0.004314317,-0.006140582,0.45454545454545453
000985.SH,low7_9_share,low,23,0.011431212,0.0163917,0.026697446,0.6086956521739131
000985.SH,low7_9_weighted,low,22,0.010585771,0.02206686,0.029689306,0.5909090909090909
000985.SH,low9_share,low,27,0.005766056,0.015665447,0.025946394,0.6296296296296297
000987.SH,high7_9_share,high,28,-3.2229084e-06,-0.01015916,-0.018097518,0.35714285714285715
000987.SH,high7_9_weighted,high,24,-0.000120175384,-0.005605422,-0.015169169,0.375
000987.SH,high9_share,high,30,0.0021006188,-0.007400958,-0.0034140944,0.43333333333333335
000987.SH,low7_9_share,low,24,0.009975582,0.015517093,0.021958562,0.5833333333333334
000987.SH,low7_9_weighted,low,22,0.005427805,0.004385951,0.018293865,0.6363636363636364
000987.SH,low9_share,low,32,0.006781146,0.0109659415,0.014449704,0.46875
000989.SH,high7_9_share,high,20,-0.008756963,-0.0054496797,-0.00860171,0.55
000989.SH,high7_9_weighted,high,14,-0.006211924,-0.0015593426,-0.0150671555,0.5714285714285714
000989.SH,high9_share,high,21,-0.00377745,0.0032767286,-0.00048593964,0.5714285714285714
000989.SH,low7_9_share,low,24,0.008287601,0.0037784502,-0.0040081567,0.4166666666666667
000989.SH,low7_9_weighted,low,24,0.0026943039,0.0026426215,-0.0029236153,0.4166666666666667
000989.SH,low9_share,low,28,0.0022249732,0.0067613595,0.0020808855,0.4642857142857143
000991.SH,high7_9_share,high,20,0.009524345,0.0016135096,0.010266041,0.6
000991.SH,high7_9_weighted,high,21,0.008010791,0.0052402928,0.0071176034,0.6190476190476191
000991.SH,high9_share,high,19,-4.17358e-05,-0.0052654305,0.0044696424,0.42105263157894735
000991.SH,low7_9_share,low,28,0.01141543,0.0056897337,0.0062813056,0.42857142857142855
000991.SH,low7_9_weighted,low,30,0.007531323,0.011952528,0.0073278723,0.4666666666666667
000991.SH,low9_share,low,31,0.00606817,0.010301424,0.016314624,0.5483870967741935
000993.SH,high7_9_share,high,23,-0.01728767,-0.031968012,-0.013034144,0.43478260869565216
000993.SH,high7_9_weighted,high,24,-0.015993757,-0.026004732,-0.024359113,0.4166666666666667
000993.SH,high9_share,high,25,-0.020983638,-0.022748806,-0.027072428,0.4
000993.SH,low7_9_share,low,24,-0.014538191,0.0043091252,0.01831092,0.4583333333333333
000993.SH,low7_9_weighted,low,22,-0.009853718,-0.0027830629,0.003486143,0.36363636363636365
000993.SH,low9_share,low,29,-0.021648442,-0.011639251,0.0057690903,0.3793103448275862
000994.CSI,high7_9_share,high,24,-0.013208832,-0.012787898,-0.029009417,0.3333333333333333
000994.CSI,high7_9_weighted,high,27,-0.0058807754,-0.013152975,-0.02600089,0.2962962962962963
000994.CSI,high9_share,high,32,-0.009327691,-0.012146713,-0.016155573,0.46875
000994.CSI,low7_9_share,low,25,0.0004745865,-0.0030650306,0.00020460128,0.44
000994.CSI,low7_9_weighted,low,28,-0.00019791935,-0.008139125,0.01484251,0.5
000994.CSI,low9_share,low,31,0.0050874776,-0.0012768565,0.008759618,0.4838709677419355
000995.CSI,high7_9_share,high,19,-0.0015050957,-0.003267329,-0.00037394385,0.5789473684210527
000995.CSI,high7_9_weighted,high,21,0.0062754266,-0.0029518206,0.011799943,0.6666666666666666
000995.CSI,high9_share,high,33,0.0075037894,0.012000528,0.015969459,0.6666666666666666
000995.CSI,low7_9_share,low,19,-0.0009693064,-0.0012313535,0.0075711138,0.5263157894736842
000995.CSI,low7_9_weighted,low,14,-0.004854006,-0.0014630726,0.015652554,0.5714285714285714
000995.CSI,low9_share,low,21,0.00430448,0.017825225,0.025685962,0.6666666666666666
399006.SZ,high7_9_share,high,22,-0.016035145,-0.023798974,-0.026293462,0.45454545454545453
399006.SZ,high7_9_weighted,high,26,-0.0036861966,-0.015518514,-0.014862031,0.46153846153846156
399006.SZ,high9_share,high,32,-0.015228113,-0.016690714,-0.017668575,0.53125
399006.SZ,low7_9_share,low,28,0.003921249,0.013489361,0.0068439716,0.42857142857142855
399006.SZ,low7_9_weighted,low,23,0.002713758,0.007531259,-0.005846884,0.391304347826087
399006.SZ,low9_share,low,36,0.00092202757,0.0043189856,0.0067616403,0.4444444444444444
399967.SZ,high7_9_share,high,27,0.016120072,-0.00301007,0.0029295308,0.6296296296296297
399967.SZ,high7_9_weighted,high,30,0.011544822,-0.0025259494,-0.00021719138,0.6666666666666666
399967.SZ,high9_share,high,34,-0.00026912548,-0.010361411,-0.015597254,0.5882352941176471
399967.SZ,low7_9_share,low,34,0.004284687,0.005683096,0.013058426,0.5588235294117647
399967.SZ,low7_9_weighted,low,32,0.00676997,0.0018779859,0.0127463285,0.53125
399967.SZ,low9_share,low,36,-0.0022894458,0.0056156167,0.015209983,0.5833333333333334
399971.SZ,high7_9_share,high,19,-0.021213256,-0.017027074,-0.017014269,0.3684210526315789
399971.SZ,high7_9_weighted,high,20,-0.018668592,-0.016614348,-0.020297179,0.35
399971.SZ,high9_share,high,31,-0.008114415,-0.014747483,-0.012850246,0.41935483870967744
399971.SZ,low7_9_share,low,28,0.0022954175,0.0012671927,0.005457523,0.42857142857142855
