signal_mode,indices,index_stock_pairs,pairs_with_buys,pairs_with_completed_trades,completed_trades,equal_weight_pair_return,median_pair_return,positive_pair_pct,mean_buy_hold_return,median_excess_return,median_max_drawdown,median_exposure_pct,trade_win_rate_pct,median_trade_return,mean_trade_return,median_holding_days
any,61,12568,12552,9107,13471,0.27932666466936673,0.04331947206359432,55.19573520050923,0.3397110392180526,0.0022533988640777713,-0.4106411667258359,41.8552036199095,59.31259743151956,0.056247390425419486,0.1615825933987391,226.0
ma5,61,12551,12535,9126,13480,0.27295174226169144,0.040609545968980365,55.007569117998564,0.34531373814987204,-0.0011692524840229979,-0.410423655501471,41.210045662100455,59.35459940652819,0.0547002761946771,0.15807420266191938,225.0
volume,56,11720,11712,7335,8766,0.3452179456483991,0.06747466177602846,60.588737201365184,0.3829065406519653,0.011870697394446461,-0.39612011378214207,42.09932279909707,54.72279260780287,0.02878161511588273,0.18515506162396306,293.0
