index_code,index_name,signal_mode,fear_start_date,fear_end_date,bottom_signals,top_signals,bottoms_with_members,candidate_stocks,volume_source
399967.SZ,中证军工,ma5,2023-01-03,2026-08-28,14,18,14,113,proxy_etf:512660.SH
399967.SZ,中证军工,volume,2023-01-03,2026-08-28,5,12,5,111,proxy_etf:512660.SH
399967.SZ,中证军工,any,2023-01-03,2026-08-28,19,29,19,113,proxy_etf:512660.SH
399971.SZ,中证传媒,ma5,2023-01-03,2026-08-28,5,13,5,60,proxy_etf:512980.SH
399971.SZ,中证传媒,volume,2023-01-03,2026-08-28,3,7,3,60,proxy_etf:512980.SH
399971.SZ,中证传媒,any,2023-01-03,2026-08-28,8,20,8,60,proxy_etf:512980.SH
399975.SZ,证券公司,ma5,2023-01-03,2026-08-28,4,8,4,51,proxy_etf:512880.SH
399975.SZ,证券公司,volume,2023-01-03,2026-08-28,2,0,2,50,proxy_etf:512880.SH
399975.SZ,证券公司,any,2023-01-03,2026-08-28,6,8,6,51,proxy_etf:512880.SH
399986.SZ,中证银行,ma5,2023-01-03,2026-08-28,8,20,8,42,proxy_etf:512800.SH
399986.SZ,中证银行,volume,2023-01-03,2026-08-28,7,12,7,42,proxy_etf:512800.SH
399986.SZ,中证银行,any,2023-01-03,2026-08-28,15,32,15,42,proxy_etf:512800.SH
399989.SZ,中证医疗,ma5,2023-01-03,2026-08-28,9,14,9,72,proxy_etf:512170.SH
399989.SZ,中证医疗,volume,2023-01-03,2026-08-28,4,4,4,64,proxy_etf:512170.SH
399989.SZ,中证医疗,any,2023-01-03,2026-08-28,13,18,13,72,proxy_etf:512170.SH
399995.SZ,基建工程,ma5,2020-05-26,2026-08-28,5,13,5,69,index_volume
399995.SZ,基建工程,volume,2020-05-26,2026-08-28,2,4,2,61,index_volume
399995.SZ,基建工程,any,2020-05-26,2026-08-28,7,17,7,71,index_volume
399997.SZ,中证白酒,ma5,2023-01-03,2026-08-28,10,11,10,19,index_volume
399997.SZ,中证白酒,volume,2023-01-03,2026-08-28,2,5,2,19,index_volume
399997.SZ,中证白酒,any,2023-01-03,2026-08-28,12,15,12,19,index_volume
399998.SZ,中证煤炭,ma5,2023-03-22,2026-08-28,9,14,9,33,proxy_etf:515220.SH
399998.SZ,中证煤炭,volume,2023-03-22,2026-08-28,1,12,1,31,proxy_etf:515220.SH
399998.SZ,中证煤炭,any,2023-03-22,2026-08-28,10,26,10,33,proxy_etf:515220.SH
899050.BJ,北证50,ma5,2025-10-30,2026-08-28,5,0,5,59,index_volume
899050.BJ,北证50,volume,2025-10-30,2026-08-28,0,0,0,0,index_volume
899050.BJ,北证50,any,2025-10-30,2026-08-28,5,0,5,59,index_volume
930598.CSI,稀土产业,ma5,2023-01-03,2026-08-28,11,16,11,46,proxy_etf:516780.SH
930598.CSI,稀土产业,volume,2023-01-03,2026-08-28,5,8,5,41,proxy_etf:516780.SH
930598.CSI,稀土产业,any,2023-01-03,2026-08-28,16,24,16,46,proxy_etf:516780.SH
930606.CSI,中证钢铁,ma5,2023-01-03,2026-08-28,5,19,5,53,proxy_etf:515210.SH
930606.CSI,中证钢铁,volume,2023-01-03,2026-08-28,2,11,2,53,proxy_etf:515210.SH
930606.CSI,中证钢铁,any,2023-01-03,2026-08-28,7,29,7,53,proxy_etf:515210.SH
930618.CSI,中证保险,ma5,2020-05-26,2026-08-28,5,8,5,24,index_volume
930618.CSI,中证保险,volume,2020-05-26,2026-08-28,3,3,3,23,index_volume
930618.CSI,中证保险,any,2020-05-26,2026-08-28,8,11,8,24,index_volume
930633.CSI,中证旅游,ma5,2023-01-03,2026-08-28,11,17,11,45,proxy_etf:562510.SH
930633.CSI,中证旅游,volume,2023-01-03,2026-08-28,4,9,4,32,proxy_etf:562510.SH
930633.CSI,中证旅游,any,2023-01-03,2026-08-28,15,25,15,45,proxy_etf:562510.SH
930641.CSI,中证中药,ma5,2023-01-03,2026-08-28,10,13,10,60,proxy_etf:560080.SH
930641.CSI,中证中药,volume,2023-01-03,2026-08-28,4,2,4,55,proxy_etf:560080.SH
930641.CSI,中证中药,any,2023-01-03,2026-08-28,14,15,14,60,proxy_etf:560080.SH
930651.CSI,中证计算机,ma5,2023-01-03,2026-08-28,6,8,6,66,proxy_etf:512720.SH
930651.CSI,中证计算机,volume,2023-01-03,2026-08-28,3,3,3,63,proxy_etf:512720.SH
930651.CSI,中证计算机,any,2023-01-03,2026-08-28,9,11,9,66,proxy_etf:512720.SH
930707.CSI,畜牧养殖,ma5,2023-01-03,2026-08-28,12,17,12,46,proxy_etf:516670.SH
930707.CSI,畜牧养殖,volume,2023-01-03,2026-08-28,7,12,7,45,proxy_etf:516670.SH
930707.CSI,畜牧养殖,any,2023-01-03,2026-08-28,19,28,19,46,proxy_etf:516670.SH
930726.CSI,生物医药,ma5,2023-01-03,2026-08-28,6,17,6,43,proxy_etf:512290.SH
930726.CSI,生物医药,volume,2023-01-03,2026-08-28,3,8,3,43,proxy_etf:512290.SH
930726.CSI,生物医药,any,2023-01-03,2026-08-28,9,25,9,43,proxy_etf:512290.SH
930851.CSI,云计算,ma5,2023-01-03,2026-08-28,4,10,4,62,proxy_etf:516510.SH
930851.CSI,云计算,volume,2023-01-03,2026-08-28,2,4,2,62,proxy_etf:516510.SH
930851.CSI,云计算,any,2023-01-03,2026-08-28,6,14,6,62,proxy_etf:516510.SH
930901.CSI,动漫游戏,ma5,2023-01-03,2026-08-28,3,11,3,28,proxy_etf:159869.SZ
930901.CSI,动漫游戏,volume,2023-01-03,2026-08-28,0,4,0,0,proxy_etf:159869.SZ
930901.CSI,动漫游戏,any,2023-01-03,2026-08-28,3,15,3,28,proxy_etf:159869.SZ
930997.CSI,新能源车,ma5,2023-01-03,2026-08-28,9,18,9,94,proxy_etf:515030.SH
930997.CSI,新能源车,volume,2023-01-03,2026-08-28,4,16,4,94,proxy_etf:515030.SH
930997.CSI,新能源车,any,2023-01-03,2026-08-28,13,33,13,94,proxy_etf:515030.SH
