quantile,strategy_return,buy_hold_return,excess_return,max_drawdown,completed_trades
0.05,-0.5091936292305534,-0.5296352743104288,-1.317795422957139,-0.7155626971374754,2.0
0.1,-0.3895021713594208,-0.40149820690978777,-0.750871638663719,-0.6716508153748901,3.0
0.25,-0.17516802156972866,-0.1307828624208044,-0.28457906588713433,-0.6041574250716102,4.0
0.5,0.16626003513734045,0.29376860925088577,-0.05523348026053032,-0.5201388994852703,5.0
0.75,0.8107942627789653,1.0223197362131833,0.08686189544347611,-0.4280131141172677,6.0
0.9,1.8083467026561377,2.3051787944082043,0.33321247406653987,-0.3369694024706653,7.0
0.95,3.093141673919866,3.6034664510253225,0.6308687116944881,-0.2804325812082029,7.0
